widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
16,mine,3.0,1.0,1.0,NN,neg,3.0,3.0,2.0,3.0,-1.75,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,3,0.00201342281879195,0.125,0.666666666666667,3.94429667138825,0.389975000480771,5,0.000126636780386495,0.00589970501474926,0.0487804878048781,7.76014608227551,3.32439892096894,not mine,is not mine
17,alone,4.0,2.0,1.0,RB,root,2.0,2.0,2.0,2.0,-1.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,1,0.000671140939597315,0.333333333333333,0.5,1.58496250072116,1.0,22,0.00055720183370058,0.2,0.5,4.09920370839874,1.21825947085984,mine alone,not mine alone
18,",",,,,",",,,,,,,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
19,but,3.0,1.0,1.0,CC,advmod,3.0,3.0,3.0,3.0,-2.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,13,0.0087248322147651,0.0506329113924051,1.0,3.39495692472679,0.0,232,0.00587594660993339,0.0407079646017699,0.333333333333333,4.39343516145018,0.83948082992114,", but","alone , but"
20,ours,3.0,2.0,1.0,PRP,cc,4.0,4.0,4.0,4.0,-3.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,2,0.00134228187919463,0.0769230769230769,0.25,5.25389732009935,1.0,7,0.000177291492541094,0.00431034482758621,0.0108695652173913,8.48895142848862,1.91863607880936,but ours,", but ours"
21,together,6.0,3.0,1.0,RB,dep,1.0,1.0,1.0,1.0,0.0,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7,2,0.00134228187919463,0.5,1.0,1.0,0.0,61,0.00154496872071524,0.142857142857143,1.0,5.03583114520864,1.46967939876581,ours together,but ours together
22,.,,,,.,,,,,,,2,"On this occasion the oath I have taken before you and before God is not mine alone , but ours together .",10,7
1,We,2.0,1.0,1.0,PRP,nsubj,4.0,4.0,2.0,4.0,-2.5,3,We are one nation and one people .,2,2,34,0.0228187919463087,0.0982142857142857,0.0,2.64463727622625,0.448685026525208,1021,0.0258592305549224,0.128163265306122,0.0,3.31849557808692,1.00709304700192,<s> we,
2,are,2.0,1.0,1.0,VBP,cop,3.0,3.0,2.0,3.0,-1.75,3,We are one nation and one people .,2,2,9,0.00604026845637584,0.147058823529412,0.181818181818182,2.33306652591747,1.20286153698701,310,0.00785148038396272,0.0910871694417238,0.130573248407643,3.74798452219802,1.8953575626127,we are,<s> we are
3,one,3.0,1.0,1.0,CD,nummod,3.0,3.0,3.0,3.0,-2.0,3,We are one nation and one people .,2,2,5,0.00335570469798658,0.111111111111111,0.2,2.04720283838002,0.664385618977472,90,0.00227946204695692,0.0032258064516129,0.010752688172043,6.49020124811687,1.79885333322505,are one,we are one
