widx,word,nseg,nsyll,nstress,pos,dep,m1a,m1b,m2a,m2b,mmean,sidx,sent,ambig1,ambig2,doc-freq,d-cp-1,d-cp-2,d-cp-3,d-inform-2,d-inform-3,corpus-freq,c-cp-1,c-cp-2,c-cp-3,c-inform-2,c-inform-3,bigram,trigram
6,the,2.0,1.0,0.0,DT,det,6.0,6.0,6.0,6.0,-5.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,89,0.0552451893234016,0.193548387096774,1.0,2.00753303456986,0.324382162428222,2261,0.0572651520907732,0.252475247524752,1.0,2.74917326769894,0.87789225295395,in the,held in the
7,depth,4.0,1.0,1.0,NN,nmod:in,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0112359550561798,0.166666666666667,6.4757334309664,2.58496250072116,2,5.06547121545982e-05,0.000884564352056612,0.00980392156862745,10.1427452767515,6.6724253419715,the depth,in the depth
8,of,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,46,0.0285536933581626,1.0,1.0,0.397808869964941,0.0652173913043478,1691,0.0428285591267128,1.0,1.0,1.70240777240252,0.42749345896955,depth of,the depth of
9,winter,5.0,2.0,1.0,NN,nmod:of,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0217391304347826,1.0,5.52356195605701,0.0,3,7.59820682318973e-05,0.00118273211117682,1.0,9.2609040811713,1.74930917114786,of winter,depth of winter
10,",",,,,",",,,,,,,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10
11,but,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,15,0.00931098696461825,0.0380952380952381,1.0,2.83486595374172,0.320490328137174,232,0.00587594660993339,0.0407079646017699,0.5,4.39343516145018,0.83948082992114,", but","winter , but"
12,by,2.0,1.0,1.0,IN,case,5.0,5.0,4.0,5.0,-3.75,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,10,0.00620732464307883,0.0666666666666667,0.25,0.590689059560852,0.2,221,0.0055973456930831,0.0301724137931034,0.0543478260869565,2.9913459476461,0.712673273225197,but by,", but by"
13,the,2.0,1.0,0.0,DT,det,5.0,5.0,5.0,5.0,-4.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,89,0.0552451893234016,0.4,1.0,2.00753303456986,0.324382162428222,2261,0.0572651520907732,0.194570135746606,0.428571428571429,2.74917326769894,0.87789225295395,by the,but by the
14,words,4.0,1.0,1.0,NNS,nmod:by,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0112359550561798,0.25,6.4757334309664,2.0,26,0.000658511258009776,0.00486510393631137,0.0465116279069767,6.97164030984679,2.6811955130888,the words,by the words
15,we,2.0,1.0,1.0,PRP,nsubj,6.0,6.0,4.0,6.0,-4.5,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,52,0.0322780881440099,1.0,1.0,2.43433857320924,0.565887661687161,1021,0.0258592305549224,0.0384615384615385,0.0909090909090909,3.31849557808692,1.00709304700192,words we,the words we
16,speak,4.0,1.0,1.0,VBP,conj:but,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0192307692307692,1.0,5.70043971814109,0.0,16,0.000405237697236785,0.0039177277179236,1.0,7.23685023126639,2.77152608012997,we speak,words we speak
17,and,3.0,1.0,1.0,CC,cc,4.0,4.0,4.0,4.0,-3.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,67,0.0415890751086282,1.0,1.0,1.67128115520518,0.140183842131026,1549,0.0392320745637363,0.0625,0.25,2.60053892310722,0.707957414545442,speak and,we speak and
18,the,2.0,1.0,0.0,DT,nsubj,5.0,5.0,5.0,5.0,-4.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,89,0.0552451893234016,0.0597014925373134,1.0,2.00753303456986,0.324382162428222,2261,0.0572651520907732,0.0806972240154939,1.0,2.74917326769894,0.87789225295395,and the,speak and the
19,faces,5.0,2.0,1.0,VBZ,conj:but,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0112359550561798,0.25,6.4757334309664,2.0,4,0.000101309424309196,0.000442282176028306,0.008,6.21585426589427,2.49144607116552,the faces,and the faces
20,we,2.0,1.0,1.0,PRP,nsubj,5.0,5.0,3.0,5.0,-3.5,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,52,0.0322780881440099,1.0,1.0,2.43433857320924,0.565887661687161,1021,0.0258592305549224,0.5,1.0,3.31849557808692,1.00709304700192,faces we,the faces we
21,show,2.0,1.0,1.0,VBP,ccomp,3.0,3.0,3.0,3.0,-2.0,2,"This ceremony is held in the depth of winter , but by the words we speak and the faces we show the world , we force the spring , a spring reborn in the world 's oldest democracy that brings forth the vision and courage to reinvent America .",10,10,1,0.000620732464307883,0.0192307692307692,1.0,5.70043971814109,0.0,8,0.000202618848618393,0.0019588638589618,0.5,7.77248755640866,4.23769715277227,we show,faces we show
